USER         PID        %CPU    %MEM        VSZ       RSS    TTY      STAT     START    TIME     COMMAND
root         1          0.0     1.2         167692    10584  ?        Ss       Jan2     9:06     /sbin/init
root         2          0.0     0.0         0         0      ?        S        Jan2     0:00     [kthreadd]
root         3          0.0     0.0         0         0      ?        S        Jan2     0:00     [pool_workqueue_release]
root         4          0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-rcu_g]
root         5          0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-rcu_p]
root         6          0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-slub_]
root         7          0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-netns]
root         9          0.0     0.0         0         0      ?        I<       Jan2     4:29     [kworker/0:0H-kblockd]
root         12         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-mm_pe]
root         13         0.0     0.0         0         0      ?        I        Jan2     0:00     [rcu_tasks_rude_kthread]
root         14         0.0     0.0         0         0      ?        I        Jan2     0:00     [rcu_tasks_trace_kthread]
root         15         0.0     0.0         0         0      ?        S        Jan2     16:30    [ksoftirqd/0]
root         16         0.0     0.0         0         0      ?        I        Jan2     24:50    [rcu_sched]
root         17         0.0     0.0         0         0      ?        S        Jan2     1:28     [migration/0]
root         18         0.0     0.0         0         0      ?        S        Jan2     0:00     [idle_inject/0]
root         19         0.0     0.0         0         0      ?        S        Jan2     0:00     [cpuhp/0]
root         20         0.0     0.0         0         0      ?        S        Jan2     0:00     [kdevtmpfs]
root         21         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-inet_]
root         23         0.0     0.0         0         0      ?        S        Jan2     0:00     [kauditd]
root         24         0.0     0.0         0         0      ?        S        Jan2     0:06     [khungtaskd]
root         25         0.0     0.0         0         0      ?        S        Jan2     0:00     [oom_reaper]
root         27         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-write]
root         28         0.0     0.0         0         0      ?        S        Jan2     11:09    [kcompactd0]
root         29         0.0     0.0         0         0      ?        SN       Jan2     0:00     [ksmd]
root         30         0.0     0.0         0         0      ?        SN       Jan2     3:30     [khugepaged]
root         31         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kinte]
root         32         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kbloc]
root         33         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-blkcg]
root         34         0.0     0.0         0         0      ?        S        Jan2     0:00     [irq/9-acpi]
root         35         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-tpm_d]
root         36         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-ata_s]
root         37         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-md]
root         38         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-md_bi]
root         39         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-edac-]
root         40         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-hv_vm]
root         41         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-hv_vm]
root         42         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-hv_pr]
root         43         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-hv_su]
root         44         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-devfr]
root         45         0.0     0.0         0         0      ?        S        Jan2     0:00     [watchdogd]
root         46         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/0:1H]
root         47         0.0     0.0         0         0      ?        S        Jan2     2:48     [kswapd0]
root         48         0.0     0.0         0         0      ?        S        Jan2     0:00     [ecryptfs-kthread]
root         49         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kthro]
root         50         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-nfit]
root         51         0.0     0.0         0         0      ?        S        Jan2     38:17    [hwrng]
root         52         0.0     0.0         0         0      ?        S        Jan2     0:00     [scsi_eh_0]
root         53         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-scsi_]
root         54         0.0     0.0         0         0      ?        S        Jan2     0:00     [scsi_eh_1]
root         55         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-scsi_]
root         56         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-nvme-]
root         57         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-nvme-]
root         58         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-nvme-]
root         59         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-nvme-]
root         63         0.0     0.0         0         0      ?        S        Jan2     5:48     [hv_balloon]
root         64         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-mld]
root         65         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-ipv6_]
root         72         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kstrp]
root         74         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/u3:0]
root         88         0.0     0.0         0         0      ?        S        Jan2     9:13     [jbd2/sda1-8]
root         89         0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-ext4-]
root         129        0.0     4.4         175064    37988  ?        S<s      Jan2     12:14    /lib/systemd/systemd-journald
root         161        0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kalua]
root         163        0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kmpat]
root         164        0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kmpat]
root         165        0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-kmpat]
root         166        0.0     3.1         289348    27520  ?        SLsl     Jan2     18:23    /sbin/multipathd -d -s
root         169        0.0     0.5         11876     4756   ?        Ss       Jan2     0:15     /lib/systemd/systemd-udevd
root         238        0.0     0.0         0         0      ?        I<       Jan2     0:00     [kworker/R-crypt]
systemd+     468        0.0     0.4         16260     4096   ?        Ss       Jan2     0:16     /lib/systemd/systemd-networkd
systemd+     470        0.0     0.9         25800     8320   ?        Ss       Jan2     9:48     /lib/systemd/systemd-resolved
message+     508        0.0     0.5         8812      4480   ?        Ss       Jan2     0:24     @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         514        0.0     1.4         33188     12144  ?        Ss       Jan2     0:00     /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog       516        0.0     0.6         222404    5888   ?        Ssl      Jan2     2:00     /usr/sbin/rsyslogd -n -iNONE
root         522        0.0     0.6         23728     5760   ?        Ss       Jan2     0:22     /lib/systemd/systemd-logind
root         524        0.0     1.8         32664     16116  ?        Ss       Jan2     0:00     /usr/bin/python3 -u /usr/sbin/waagent -daemon
root         555        0.0     3.7         1132776   32272  ?        Ssl      Mar18    84:38    /opt/microsoft/azuremonitoragent/bin/agentlauncher --fluentBitPath /opt/microsoft/azuremonitoragent/bin/fluent-bit --agentLauncherLogFilePath /var/opt/microsoft/azuremonitoragent
root         556        0.0     3.1         1271124   27392  ?        Ssl      Mar18    110:19   /opt/microsoft/azuremonitoragent/bin/amacoreagent -c /etc/opt/microsoft/azuremonitoragent/amacoreagent --configport 12563 --amacalog /var/opt/microsoft/azuremonitoragent/log/amac
root         562        0.0     0.2         7288      2560   ?        Ss       Mar18    0:32     /usr/sbin/cron -f -P
root         566        0.0     0.0         0         0      ?        S        Mar18    0:00     [jbd2/sdb1-8]
